Topology,Grid,Iterations,Time
1x4,800,300,0.806113
1x4,800,400,1.073593
1x4,800,500,1.340531
1x4,800,600,1.605782
1x4,800,700,1.870359
1x4,800,800,2.132003
1x4,800,900,2.390899
1x4,800,1000,2.647091
1x4,800,1100,2.901992
1x4,800,1200,3.156921
1x4,800,1300,3.411969
1x4,800,1400,3.666831
1x4,800,1500,3.923091
1x4,800,1600,4.178011
1x4,800,1700,4.432958
1x4,800,1800,4.687938
1x4,800,1900,4.942679
1x4,800,2000,5.197108
1x4,1200,100,0.568843
1x4,1200,200,1.138454
1x4,1200,300,1.709491
1x4,1200,400,2.279870
1x4,1200,500,2.873860
1x4,1200,600,3.470321
1x4,1200,700,4.060012
1x4,1200,800,4.637336
1x4,1200,900,5.197497
1x4,1200,1000,5.747665
1x4,1200,1100,6.279997
1x4,1200,1200,6.812994
1x4,1200,1300,7.345664
1x4,1200,1400,7.879273
1x4,1200,1500,8.413471
1x4,1200,1600,8.949044
1x4,1200,1700,9.483036
1x4,1200,1800,10.026500
1x4,1200,1900,10.568520
1x4,1200,2000,11.111264
